cps,sps,sm,md,lr,mi,cv_wape
0.5,10.0,multiplicative,7,0.2,200,0.2796635518444154
0.05,0.1,multiplicative,7,0.2,50,0.27968109139182457
0.01,10.0,multiplicative,7,0.2,50,0.27969318496620954
0.05,0.1,multiplicative,7,0.2,100,0.27970852343961516
0.1,1.0,additive,7,0.1,100,0.2797172216720797
0.1,0.1,multiplicative,5,0.2,200,0.2797453759422634
0.01,10.0,multiplicative,3,0.2,100,0.27975435587743913
0.1,0.1,additive,7,0.1,50,0.27992559607570655
0.05,1.0,additive,5,0.1,100,0.2800263875306207
0.01,0.1,additive,7,0.1,200,0.28003553130909287
0.05,0.1,multiplicative,5,0.1,50,0.2800648168703267
0.01,10.0,multiplicative,7,0.2,100,0.2800685828581836
0.1,10.0,additive,7,0.1,100,0.2800919097922441
0.01,10.0,additive,7,0.2,200,0.28009584547094135
0.01,1.0,additive,7,0.1,200,0.28010663454915286
0.01,1.0,additive,7,0.1,100,0.2801398929754687
0.3,1.0,additive,3,0.2,200,0.28022549096445887
0.01,0.1,multiplicative,7,0.2,50,0.2802668026747739
0.3,0.1,additive,7,0.2,100,0.28027300130154353
0.1,0.1,multiplicative,7,0.1,200,0.28031985538654924
0.1,1.0,multiplicative,5,0.2,200,0.28032800227470156
0.1,10.0,additive,5,0.1,50,0.2803961735189266
0.3,0.1,additive,7,0.1,50,0.2804248572039043
0.01,1.0,additive,5,0.1,50,0.2804607433592461
0.1,10.0,multiplicative,7,0.2,100,0.28048269050799224
0.1,0.1,additive,5,0.1,50,0.2805554091054262
0.3,10.0,multiplicative,7,0.1,50,0.28073517981910123
0.01,0.1,multiplicative,5,0.1,100,0.2807509363850188
0.1,1.0,multiplicative,7,0.2,50,0.2807757721385956
0.3,0.1,additive,5,0.1,200,0.28081618219515114
0.1,1.0,additive,5,0.1,50,0.28083611909096934
0.05,0.1,multiplicative,7,0.1,100,0.28084965790006655
0.1,1.0,additive,5,0.1,100,0.28090891060633877
0.3,1.0,additive,7,0.1,100,0.28096859395872714
0.01,0.1,additive,3,0.2,50,0.28099656898715625
0.01,10.0,multiplicative,3,0.1,100,0.28100932796215344
0.01,0.1,multiplicative,7,0.1,200,0.28106672167669444
0.1,0.1,additive,7,0.2,200,0.2810736178347184
0.05,0.1,additive,3,0.2,50,0.28110768490834825
0.01,10.0,multiplicative,7,0.1,100,0.28111522176904635
0.3,10.0,additive,7,0.2,100,0.281128593833318
0.05,10.0,multiplicative,7,0.2,100,0.28114787718277656
0.01,0.1,multiplicative,7,0.2,200,0.28117271868705784
0.1,0.1,additive,5,0.1,200,0.2811742041717924
0.1,1.0,additive,5,0.1,200,0.28118680271754876
0.3,0.1,multiplicative,7,0.1,200,0.28119359972440416
0.05,0.1,additive,5,0.1,100,0.28119756148310726
0.05,0.1,additive,5,0.1,50,0.28120635698956176
0.01,1.0,additive,5,0.2,50,0.2812443894997158
0.05,1.0,multiplicative,7,0.1,100,0.28130944309000494
0.05,1.0,additive,5,0.2,100,0.2814172687965648
0.1,10.0,additive,5,0.2,200,0.28142511645993695
0.05,10.0,additive,7,0.2,50,0.28144990748641746
0.05,1.0,additive,7,0.1,200,0.2814906618229732
0.01,0.1,additive,5,0.2,200,0.2814950997820853
0.01,0.1,additive,5,0.1,200,0.2814982422047857
0.1,10.0,additive,7,0.2,100,0.28150121172719955
0.05,1.0,additive,7,0.1,100,0.28150435852793654
0.01,1.0,multiplicative,3,0.2,100,0.2815133460559781
0.1,10.0,multiplicative,7,0.1,50,0.2815181334794736
0.3,10.0,multiplicative,7,0.2,100,0.28153422120600935
0.1,0.1,additive,5,0.2,100,0.2815457477521001
0.1,0.1,additive,5,0.2,200,0.281570857669585
0.05,10.0,additive,7,0.1,200,0.28159582259976784
0.1,10.0,additive,5,0.2,50,0.2816031532500248
0.1,1.0,additive,5,0.2,200,0.28166094731468067
0.5,0.1,additive,7,0.1,200,0.2816846105662768
0.1,1.0,additive,7,0.1,200,0.28173133710196646
0.1,1.0,multiplicative,7,0.1,100,0.28175213985287906
0.3,10.0,additive,7,0.1,100,0.28176639512523916
0.01,1.0,multiplicative,3,0.1,200,0.28181559707936266
0.01,0.1,multiplicative,5,0.2,200,0.2819274915989965
0.5,10.0,additive,7,0.1,50,0.28195147115056396
0.01,10.0,additive,5,0.2,200,0.2820464368444769
0.1,1.0,multiplicative,7,0.2,100,0.2821574553665742
0.3,10.0,additive,5,0.2,100,0.28217113301921676
0.05,0.1,additive,7,0.1,200,0.28217369675745685
0.1,0.1,additive,7,0.1,200,0.2822089731032912
0.01,1.0,multiplicative,3,0.2,50,0.2822197904635307
0.01,0.1,additive,3,0.1,200,0.2822228143789254
0.05,0.1,additive,3,0.1,200,0.28222975163805364
0.01,10.0,multiplicative,3,0.1,200,0.2822564673194451
0.3,10.0,additive,5,0.2,200,0.28226177251687357
0.01,10.0,additive,7,0.2,100,0.2822702695329858
0.1,10.0,multiplicative,3,0.2,200,0.28233227757771473
0.05,10.0,multiplicative,7,0.1,200,0.2823618270129171
0.1,1.0,multiplicative,5,0.1,50,0.28236345668761303
0.01,1.0,additive,3,0.2,100,0.28241643090343016
0.1,10.0,multiplicative,5,0.2,100,0.2824291397930705
0.05,0.1,additive,3,0.1,100,0.28256307949053755
0.05,10.0,multiplicative,5,0.2,200,0.2826287860292153
0.05,10.0,multiplicative,7,0.2,50,0.28269621261242056
0.05,0.1,additive,7,0.1,100,0.2826997307933886
0.01,0.1,multiplicative,3,0.1,200,0.28271023843433124
0.01,1.0,additive,7,0.1,50,0.28273783824326537
0.05,1.0,additive,5,0.1,200,0.2827914240705629
0.1,0.1,multiplicative,5,0.1,100,0.28283534012526745
0.1,0.1,additive,7,0.2,50,0.28309363467962617
0.01,0.1,multiplicative,3,0.1,100,0.2831437981799102
0.05,0.1,additive,5,0.1,200,0.2831569078164642
0.05,1.0,multiplicative,3,0.2,200,0.2832247516099681
0.01,0.1,additive,7,0.2,50,0.2832357842313346
0.3,0.1,additive,5,0.1,100,0.2832581185331268
0.01,1.0,multiplicative,7,0.1,100,0.28327435629679854
0.05,0.1,multiplicative,3,0.1,100,0.28346685668337823
0.1,0.1,multiplicative,7,0.1,100,0.28356874495918805
0.05,1.0,additive,7,0.2,50,0.2835836152347602
0.1,10.0,additive,7,0.2,50,0.28366458819336304
0.3,0.1,multiplicative,5,0.2,100,0.28370069252977287
0.01,10.0,multiplicative,5,0.1,100,0.2837188816889203
0.5,0.1,additive,5,0.1,200,0.2838038628789472
0.01,1.0,additive,7,0.2,100,0.2838067402754556
0.05,1.0,multiplicative,7,0.1,200,0.2838081273749852
0.01,1.0,additive,3,0.2,50,0.2838502503528496
0.1,10.0,additive,5,0.1,100,0.2840007286163514
0.1,0.1,additive,7,0.1,100,0.2840167631428824
0.1,1.0,additive,3,0.2,200,0.2840701708553295
0.1,1.0,additive,7,0.2,50,0.28410934708926217
0.05,0.1,additive,7,0.2,100,0.28415531553691753
0.01,1.0,multiplicative,7,0.1,50,0.28416482011823746
0.01,0.1,multiplicative,3,0.2,50,0.2842146198939595
0.5,0.1,additive,7,0.1,50,0.2842530575436355
0.3,1.0,additive,7,0.1,200,0.28433932701688397
0.01,10.0,additive,3,0.2,100,0.28444052240134843
0.05,1.0,multiplicative,5,0.1,50,0.2845153130982995
0.3,0.1,additive,7,0.2,200,0.28472814618584263
0.3,10.0,additive,3,0.2,50,0.28474574327825386
0.1,10.0,additive,5,0.2,100,0.2847463983919383
0.01,10.0,additive,7,0.1,100,0.28477365584723946
0.5,10.0,multiplicative,5,0.1,50,0.28483677286228093
0.01,0.1,multiplicative,7,0.2,100,0.28486604765588464
0.05,0.1,multiplicative,7,0.2,200,0.28487167478781505
0.01,10.0,additive,5,0.1,100,0.2849503404843521
0.01,10.0,additive,3,0.1,50,0.2849904998498013
0.01,0.1,additive,3,0.1,100,0.2850290484822666
0.01,1.0,multiplicative,7,0.1,200,0.2851107106532579
0.1,1.0,multiplicative,5,0.2,100,0.2851189952163912
0.3,0.1,additive,3,0.1,200,0.28516608487873146
0.5,1.0,multiplicative,7,0.2,100,0.285199507384266
0.3,10.0,additive,5,0.1,200,0.28525395044039337
0.05,0.1,additive,5,0.2,100,0.2852736895051339
0.3,1.0,additive,3,0.1,200,0.2853201018329343
0.3,1.0,additive,3,0.2,50,0.28536276363020996
0.05,10.0,additive,3,0.1,200,0.28541932092568184
0.3,1.0,additive,7,0.2,200,0.28544340377117805
0.05,1.0,additive,7,0.2,200,0.2854438893917246
0.5,10.0,additive,7,0.1,100,0.2855028482050397
0.01,10.0,additive,3,0.1,200,0.28553587504389155
0.1,0.1,additive,3,0.2,50,0.2856350527836087
0.1,0.1,multiplicative,3,0.1,100,0.2856407385804006
0.3,10.0,additive,7,0.2,200,0.28566212148813386
0.05,0.1,additive,7,0.2,50,0.285681807937634
0.05,0.1,additive,5,0.2,50,0.2857600472267398
0.5,0.1,additive,5,0.2,50,0.2857967398506358
0.1,1.0,additive,3,0.1,100,0.2858503323082839
0.1,10.0,additive,3,0.2,100,0.2859398755418855
0.5,10.0,additive,5,0.1,200,0.2859415041739942
0.3,1.0,additive,7,0.2,100,0.28595001263553677
0.5,0.1,additive,7,0.1,100,0.285996475402573
0.3,0.1,additive,3,0.2,50,0.2860599916902775
0.01,1.0,additive,3,0.1,100,0.286106824997441
0.3,0.1,additive,7,0.2,50,0.2861605595761021
0.1,0.1,multiplicative,7,0.2,200,0.28619905333854967
0.5,1.0,multiplicative,7,0.1,200,0.286203712637219
0.1,1.0,multiplicative,3,0.2,50,0.2863116435651948
0.01,1.0,multiplicative,7,0.2,100,0.28632534430479417
0.3,10.0,multiplicative,7,0.2,200,0.2863433837406907
0.5,0.1,additive,7,0.2,100,0.28642223019456786
0.05,1.0,multiplicative,3,0.2,100,0.2864510667053404
0.05,0.1,additive,7,0.2,200,0.28645570016120797
0.05,1.0,additive,3,0.1,100,0.2864876090676074
0.3,1.0,multiplicative,7,0.2,200,0.2865220593394677
0.01,10.0,multiplicative,3,0.2,50,0.2865286803786439
0.3,0.1,multiplicative,7,0.1,50,0.28656523872467077
0.3,0.1,additive,7,0.1,100,0.2866367143820636
0.01,10.0,multiplicative,3,0.2,200,0.28663841970750026
0.1,0.1,additive,7,0.2,100,0.2866419284792988
0.01,1.0,multiplicative,3,0.1,100,0.2867204129688893
0.05,10.0,multiplicative,7,0.2,200,0.28676339537837037
0.05,0.1,additive,3,0.2,200,0.2868739872491592
0.1,10.0,multiplicative,3,0.2,100,0.2869213653551387
0.3,10.0,additive,5,0.2,50,0.2869550421894594
0.3,0.1,additive,5,0.2,100,0.2871827069333236
0.1,0.1,multiplicative,7,0.2,50,0.2872314013580488
0.3,1.0,multiplicative,7,0.1,100,0.2872625654819549
0.1,1.0,additive,7,0.2,100,0.2872750697197848
0.05,1.0,multiplicative,7,0.2,50,0.2872813288575738
0.3,1.0,multiplicative,5,0.1,50,0.2874155212908538
0.3,1.0,additive,5,0.2,100,0.28745588428830326
0.3,10.0,additive,3,0.2,200,0.2875103883634904
0.3,0.1,additive,5,0.2,200,0.2875288573192686
0.5,10.0,multiplicative,7,0.1,100,0.2875764431630171
0.01,1.0,multiplicative,3,0.2,200,0.28761304660640663
0.05,1.0,multiplicative,3,0.2,50,0.2876172074731941
0.3,10.0,additive,7,0.1,50,0.28765846385957927
0.05,0.1,multiplicative,3,0.2,50,0.2876899973739452
0.01,1.0,additive,3,0.1,50,0.2877079505917755
0.3,0.1,additive,3,0.2,100,0.287721432636206
0.01,0.1,multiplicative,3,0.2,100,0.28777117903233024
0.05,1.0,additive,3,0.2,100,0.28782385460798093
0.05,10.0,additive,3,0.1,100,0.2878366946170756
0.1,0.1,additive,3,0.2,100,0.28792032878459306
0.01,0.1,additive,3,0.2,200,0.28797682481057085
0.05,0.1,multiplicative,5,0.2,100,0.28808293213027186
0.05,10.0,additive,3,0.1,50,0.28812410150461987
0.05,10.0,multiplicative,3,0.1,100,0.2881912519851339
0.3,1.0,additive,7,0.2,50,0.288229191024855
0.05,0.1,multiplicative,3,0.2,200,0.2882651785302245
0.05,1.0,additive,3,0.1,200,0.2883325667394872
0.3,10.0,multiplicative,7,0.1,200,0.2883385074747269
0.05,10.0,multiplicative,3,0.1,200,0.288341326051062
0.1,10.0,multiplicative,3,0.2,50,0.28834341752173986
0.1,1.0,additive,3,0.1,200,0.2883835013517947
0.3,0.1,multiplicative,5,0.1,100,0.28842598174100914
0.05,1.0,multiplicative,3,0.1,100,0.2884362575495101
0.3,1.0,additive,5,0.1,100,0.28844760865380725
0.01,10.0,additive,3,0.2,50,0.28848243011002106
0.05,0.1,additive,7,0.1,50,0.2885772603151482
0.1,0.1,additive,3,0.2,200,0.2885810425631987
0.1,0.1,multiplicative,3,0.2,100,0.28860324002512616
0.1,1.0,multiplicative,7,0.1,50,0.28863450676146585
0.3,0.1,additive,3,0.2,200,0.28864674416603386
0.5,10.0,additive,5,0.1,50,0.28864874985997013
0.05,1.0,additive,3,0.2,50,0.2886505921665879
0.3,0.1,additive,5,0.1,50,0.28878610033873475
0.3,10.0,multiplicative,7,0.2,50,0.288813286105162
0.1,1.0,additive,3,0.2,100,0.2888444057737481
0.3,10.0,additive,5,0.1,50,0.28887699269545175
0.3,1.0,additive,5,0.2,200,0.28893602491133386
0.05,1.0,additive,3,0.2,200,0.28894431749326493
0.3,10.0,additive,3,0.1,200,0.28898394061676774
0.3,0.1,additive,5,0.2,50,0.2890607570296172
0.01,1.0,additive,3,0.1,200,0.289084314344919
0.01,10.0,multiplicative,7,0.2,200,0.28911677939438046
0.01,10.0,additive,3,0.2,200,0.2891734803162845
0.05,1.0,additive,3,0.1,50,0.28917683028845936
0.01,1.0,multiplicative,7,0.2,200,0.28920688401520156
0.1,0.1,multiplicative,3,0.2,50,0.2892238709303195
0.05,1.0,multiplicative,3,0.1,200,0.2892616250478881
0.3,0.1,multiplicative,7,0.1,100,0.2892628234365566
0.3,0.1,multiplicative,7,0.2,100,0.28929308974329926
0.3,1.0,additive,5,0.1,50,0.2893725076348889
0.5,0.1,additive,7,0.2,200,0.28945982863607533
0.1,10.0,multiplicative,3,0.1,200,0.28947386687587995
0.5,0.1,additive,7,0.2,50,0.2895167547086805
0.5,1.0,multiplicative,7,0.1,50,0.28962669370410776
0.3,1.0,additive,3,0.1,100,0.2896411702779752
0.05,0.1,multiplicative,3,0.1,200,0.289796418309922
0.01,1.0,multiplicative,3,0.1,50,0.2899139962844859
0.5,10.0,additive,7,0.2,100,0.2900632644624751
0.5,10.0,additive,5,0.1,100,0.29024780353337815
0.5,0.1,additive,5,0.2,200,0.2903280997782427
0.3,0.1,additive,3,0.1,50,0.2903781380848854
0.05,1.0,multiplicative,5,0.2,100,0.29058824706020003
0.5,0.1,additive,5,0.1,50,0.2906123861766612
0.05,10.0,multiplicative,3,0.2,100,0.2906318399394269
0.3,0.1,multiplicative,5,0.1,200,0.2906610646974733
0.5,10.0,multiplicative,5,0.2,50,0.2906942650154352
0.05,0.1,multiplicative,7,0.1,50,0.2907032323019834
0.1,0.1,additive,3,0.1,50,0.29076358615482767
0.5,0.1,multiplicative,5,0.2,200,0.2911013873220287
0.3,10.0,additive,7,0.1,200,0.2911094283943835
0.1,0.1,additive,3,0.1,200,0.29113352812182647
0.1,1.0,additive,7,0.1,50,0.2913164051378588
0.1,1.0,multiplicative,3,0.2,200,0.29137237121037113
0.1,10.0,additive,5,0.1,200,0.2913991879161181
0.5,10.0,additive,7,0.2,50,0.29141537978552845
0.3,0.1,multiplicative,5,0.2,200,0.29153181626958213
0.5,10.0,additive,5,0.2,100,0.29161756957279095
0.1,10.0,multiplicative,3,0.1,50,0.29163041050868943
0.3,0.1,multiplicative,7,0.2,50,0.29163467402942067
0.5,10.0,additive,7,0.2,200,0.2918781122178895
0.3,0.1,additive,3,0.1,100,0.2919294236403777
0.1,0.1,additive,5,0.2,50,0.29194314327839155
0.05,0.1,multiplicative,3,0.1,50,0.29197308713669246
0.5,10.0,additive,3,0.1,200,0.292070898902002
0.1,1.0,multiplicative,3,0.1,100,0.2920757919754934
0.5,1.0,additive,3,0.2,50,0.29208944745709664
0.01,0.1,multiplicative,3,0.1,50,0.29213694959703096
0.5,0.1,multiplicative,5,0.1,100,0.29215040103787404
0.05,0.1,multiplicative,3,0.2,100,0.292263831576797
0.3,1.0,multiplicative,5,0.2,200,0.2923853102066438
0.1,1.0,multiplicative,3,0.1,200,0.2924027939654019
0.3,1.0,multiplicative,5,0.1,100,0.29242341638325664
0.3,0.1,multiplicative,7,0.2,200,0.29243522993027427
0.5,0.1,additive,5,0.2,100,0.2925038894900684
0.05,1.0,additive,7,0.2,100,0.29250964536307034
0.3,1.0,additive,7,0.1,50,0.29253260003715353
0.5,0.1,multiplicative,5,0.2,50,0.29256599052644283
0.5,10.0,multiplicative,5,0.1,100,0.2925743206143774
0.1,1.0,additive,5,0.2,50,0.29257845217203693
0.01,0.1,additive,3,0.1,50,0.29262157424291235
0.3,10.0,multiplicative,5,0.1,200,0.29262304826184937
0.5,0.1,additive,3,0.2,200,0.2927210634204501
0.3,1.0,multiplicative,7,0.2,100,0.29273671035748927
0.5,0.1,additive,3,0.2,100,0.2928102759945569
0.3,0.1,additive,7,0.1,200,0.29283891650613125
0.5,1.0,additive,7,0.2,100,0.2929090780920248
0.5,10.0,additive,5,0.2,200,0.292963442554805
0.5,10.0,additive,3,0.2,50,0.2929760670862728
0.3,10.0,multiplicative,7,0.1,100,0.2930304061482013
0.1,1.0,additive,3,0.1,50,0.29308530201619654
0.5,0.1,additive,3,0.1,200,0.29309356165378364
0.5,10.0,additive,3,0.2,200,0.2931205502752259
0.3,10.0,multiplicative,5,0.1,100,0.2931637793670743
0.5,10.0,additive,7,0.1,200,0.29317274925760406
0.5,1.0,additive,3,0.1,100,0.2931958445801487
0.5,1.0,additive,5,0.1,100,0.29332208510729
0.3,10.0,multiplicative,5,0.2,100,0.2933625598473632
0.01,0.1,multiplicative,3,0.2,200,0.2933672861725415
0.1,1.0,additive,7,0.2,200,0.29345974121545804
0.05,0.1,additive,3,0.1,50,0.2934705878404241
0.3,10.0,additive,3,0.1,100,0.2934848434975492
0.3,0.1,multiplicative,3,0.1,100,0.29357570894431323
0.1,0.1,multiplicative,5,0.2,100,0.2936272922613459
0.01,10.0,multiplicative,3,0.1,50,0.2936346488621706
0.5,0.1,multiplicative,5,0.1,200,0.2939295500985355
0.1,10.0,additive,3,0.1,50,0.2940659073681914
0.3,10.0,multiplicative,5,0.2,50,0.294257420291437
0.1,1.0,additive,3,0.2,50,0.2943137057100431
0.3,0.1,multiplicative,5,0.2,50,0.29448295639816247
0.3,10.0,multiplicative,5,0.1,50,0.2946172410217667
0.05,10.0,additive,3,0.2,100,0.2946315773269411
0.3,10.0,multiplicative,3,0.2,200,0.2946417361304582
0.5,1.0,additive,7,0.2,200,0.2946530027373859
0.1,10.0,additive,3,0.2,50,0.2947837726045334
0.3,10.0,additive,7,0.2,50,0.2948845172510767
0.3,1.0,multiplicative,3,0.1,50,0.29493271564034507
0.1,0.1,multiplicative,7,0.2,100,0.29497636931863835
0.3,10.0,additive,5,0.1,100,0.29498130360246777
0.1,0.1,additive,3,0.1,100,0.2950284632165965
0.1,0.1,multiplicative,3,0.2,200,0.29504135591829656
0.3,1.0,multiplicative,7,0.2,50,0.2950648857563335
0.5,0.1,multiplicative,7,0.2,100,0.2951278921055842
0.1,10.0,multiplicative,7,0.2,200,0.29525733137298604
0.3,10.0,multiplicative,3,0.1,200,0.29531220603360386
0.5,10.0,multiplicative,3,0.1,200,0.2953869159654128
0.3,1.0,multiplicative,7,0.1,50,0.29540994404466125
0.5,1.0,additive,3,0.1,200,0.2954554780806212
0.05,1.0,multiplicative,5,0.2,200,0.2955338238600377
0.3,10.0,multiplicative,5,0.2,200,0.29563238015671933
0.5,10.0,additive,3,0.1,100,0.2956798688842561
0.5,0.1,multiplicative,7,0.1,100,0.2956835850782822
0.5,1.0,additive,7,0.2,50,0.29569084578211224
0.1,10.0,additive,3,0.1,100,0.2958054235558305
0.1,10.0,multiplicative,3,0.1,100,0.2958670428740884
0.5,0.1,additive,3,0.1,100,0.29604073264303526
0.5,1.0,additive,7,0.1,100,0.2961483561166136
0.1,10.0,multiplicative,5,0.1,200,0.29638955271406475
0.5,10.0,additive,3,0.2,100,0.2963896286369837
0.5,10.0,multiplicative,7,0.1,50,0.2964657438586005
0.5,0.1,multiplicative,5,0.1,50,0.2965959422643022
0.5,0.1,multiplicative,3,0.1,100,0.29664170986747995
0.5,1.0,additive,7,0.1,200,0.29666246779092525
0.5,1.0,multiplicative,7,0.2,50,0.29666416551165165
0.3,10.0,multiplicative,3,0.2,100,0.2966772960698454
0.1,0.1,multiplicative,3,0.1,200,0.2968269737458564
0.1,1.0,multiplicative,3,0.1,50,0.2968988774690189
0.5,0.1,additive,3,0.1,50,0.2969208094849014
0.5,0.1,multiplicative,7,0.2,50,0.29709169999819474
0.3,1.0,multiplicative,3,0.1,200,0.2973068400448894
0.05,10.0,multiplicative,3,0.2,50,0.2978315625954432
0.5,1.0,multiplicative,5,0.1,200,0.29788940598832014
0.05,10.0,multiplicative,3,0.1,50,0.2979294137196592
0.5,0.1,multiplicative,3,0.2,200,0.29814307102301985
0.5,1.0,additive,5,0.2,50,0.29829941477945215
0.5,1.0,additive,7,0.1,50,0.2984232282572307
0.3,1.0,multiplicative,5,0.2,50,0.29851703790092254
0.3,0.1,multiplicative,3,0.2,50,0.29870478090152575
0.1,1.0,multiplicative,3,0.2,100,0.29875356452352986
