ds,article,y,unit_price
2021-01-07,SPECIAL BREAD KG,1.0,4.8
2021-01-08,BOULE POLKA,2.0,1.6
2021-01-08,DIVERS SANDWICHS,3.0,4.166666666666667
2021-01-08,DIVERS VIENNOISERIE,3.0,4.666666666666667
2021-01-08,FONDANT CHOCOLAT,1.0,2.5
2021-01-08,GACHE,1.0,5.0
2021-01-08,GAL FRANGIPANE 4P,5.0,8.0
2021-01-08,GAL FRANGIPANE 6P,1.0,12.0
2021-01-08,GAL POMME 4P,4.0,8.0
2021-01-08,GAL POMME 6P,1.0,12.0
2021-01-08,SPECIAL BREAD KG,1.0,4.8
2021-01-08,VIK BREAD,2.0,2.5
2021-01-09,CHOCOLAT,1.0,1.5
2021-01-09,DIVERS BOULANGERIE,1.0,1.0
2021-01-09,DIVERS CONFISERIE,1.0,3.0
2021-01-09,DIVERS VIENNOISERIE,5.0,4.666666666666667
2021-01-09,GAL FRANGIPANE 4P,6.0,8.0
2021-01-09,GAL FRANGIPANE 6P,3.0,12.0
2021-01-09,GAL POIRE CHOCO 4P,2.0,8.0
2021-01-09,GAL POIRE CHOCO 6P,3.0,12.0
2021-01-09,GAL POMME 4P,3.0,8.0
2021-01-09,GAL POMME 6P,2.0,12.0
2021-01-09,GRAND FAR BRETON,1.0,7.0
2021-01-09,NANTAIS,3.0,2.5
2021-01-09,SPECIAL BREAD KG,1.0,4.8
2021-01-09,VIK BREAD,7.0,2.5
2021-01-10,BAGUETTE GRAINE,10.0,1.3
2021-01-10,DIVERS BOULANGERIE,2.0,1.0
2021-01-10,DIVERS VIENNOISERIE,7.0,5.0
2021-01-10,GACHE,1.0,5.0
2021-01-10,GAL FRANGIPANE 4P,15.0,8.0
2021-01-10,GAL FRANGIPANE 6P,6.0,12.0
2021-01-10,GAL POIRE CHOCO 4P,3.0,8.0
2021-01-10,GAL POIRE CHOCO 6P,2.0,12.0
2021-01-10,GAL POMME 4P,5.0,8.0
2021-01-10,GAL POMME 6P,3.0,12.0
2021-01-10,GALETTE 8 PERS,1.0,16.0
2021-01-10,NANTAIS,3.0,2.5
2021-01-10,SACHET VIENNOISERIE,1.0,4.0
2021-01-10,SPECIAL BREAD KG,1.0,4.8
2021-01-10,VIK BREAD,7.0,2.5
2021-01-11,BOULE POLKA,2.0,1.6
2021-01-11,DIVERS PATISSERIE,7.0,8.0
2021-01-11,FONDANT CHOCOLAT,2.0,2.5
2021-01-11,NANTAIS,2.0,2.5
2021-01-11,SAND JB,1.0,3.0
2021-01-11,SPECIAL BREAD KG,1.0,4.8
2021-01-11,SUCETTE,2.0,0.3
2021-01-11,VIK BREAD,3.0,2.5
2021-01-12,DIVERS PATISSERIE,9.0,5.777777777777778
2021-01-12,DIVERS VIENNOISERIE,3.0,2.0
2021-01-12,NANTAIS,1.0,2.5
2021-01-12,SPECIAL BREAD KG,1.0,4.8
2021-01-12,SUCETTE,1.0,0.3
2021-01-14,DIVERS PATISSERIE,12.0,9.833333333333334
2021-01-14,GACHE,1.0,5.0
2021-01-14,NANTAIS,6.0,2.5
2021-01-14,SACHET DE CROUTON,2.0,1.6
2021-01-14,SUCETTE,2.0,0.3
2021-01-15,DIVERS CONFISERIE,1.0,1.0
2021-01-15,DIVERS PATISSERIE,7.0,6.285714285714286
2021-01-15,DIVERS SANDWICHS,2.0,2.285
2021-01-15,DIVERS VIENNOISERIE,1.0,6.0
2021-01-15,GACHE,1.0,5.0
2021-01-15,SAND JB,1.0,3.0
2021-01-15,SPECIAL BREAD KG,1.0,4.8
2021-01-15,VIK BREAD,4.0,2.5
2021-01-16,BOULE POLKA,3.0,1.6000000000000003
2021-01-16,DIVERS PATISSERIE,3.0,6.0
2021-01-16,DIVERS VIENNOISERIE,5.0,6.0
2021-01-16,GACHE,1.0,5.0
2021-01-16,GAL FRANGIPANE 4P,7.0,8.0
2021-01-16,GAL FRANGIPANE 6P,5.0,12.0
2021-01-16,GAL POMME 4P,3.0,8.0
2021-01-16,GRANDE SUCETTE,1.0,0.6
2021-01-16,NANTAIS,3.0,2.5
2021-01-16,SACHET VIENNOISERIE,1.0,4.0
2021-01-16,SPECIAL BREAD KG,1.0,4.8
2021-01-16,SUCETTE,1.0,0.3
2021-01-16,VIK BREAD,6.0,2.5
2021-01-17,BAGUETTE GRAINE,10.0,1.3
2021-01-17,BOULE POLKA,1.0,1.6
2021-01-17,DIVERS CONFISERIE,1.0,3.0
2021-01-17,DIVERS VIENNOISERIE,5.0,4.4
2021-01-17,FONDANT CHOCOLAT,3.0,2.5
2021-01-17,GACHE,2.0,5.0
2021-01-17,GAL FRANGIPANE 4P,7.0,8.0
2021-01-17,GAL FRANGIPANE 6P,3.0,12.0
2021-01-17,GAL POIRE CHOCO 4P,3.0,8.0
2021-01-17,GAL POIRE CHOCO 6P,2.0,12.0
2021-01-17,GAL POMME 6P,6.0,12.0
2021-01-17,GD KOUIGN AMANN,1.0,7.5
2021-01-17,NANTAIS,2.0,2.5
2021-01-17,SACHET DE CROUTON,1.0,1.6
2021-01-17,SAND JB,1.0,3.0
2021-01-17,SPECIAL BREAD KG,1.0,4.8
2021-01-17,VIK BREAD,10.0,2.5
2021-01-18,BOULE POLKA,1.0,1.6
2021-01-18,DIVERS CONFISERIE,1.0,3.0
2021-01-18,DIVERS VIENNOISERIE,1.0,4.0
2021-01-18,GAL FRANGIPANE 4P,3.0,8.0
2021-01-18,GAL FRANGIPANE 6P,1.0,12.0
2021-01-18,GAL POMME 4P,4.0,8.0
2021-01-18,SACHET VIENNOISERIE,2.0,4.0
2021-01-18,SUCETTE,1.0,0.3
2021-01-19,DEMI PAIN,1.0,0.6
2021-01-19,DIVERS BOULANGERIE,1.0,2.0
2021-01-19,DIVERS CONFISERIE,1.0,3.0
2021-01-19,DIVERS PATISSERIE,6.0,5.333333333333333
2021-01-19,DIVERS SANDWICHS,3.0,2.5
2021-01-19,DIVERS VIENNOISERIE,2.0,2.5
2021-01-19,SACHET VIENNOISERIE,4.0,4.0
2021-01-19,SPECIAL BREAD KG,1.0,4.8
2021-01-21,DIVERS SANDWICHS,5.0,4.5
2021-01-21,DIVERS VIENNOISERIE,3.0,5.333333333333333
2021-01-21,FLAN,1.0,2.0
2021-01-21,FONDANT CHOCOLAT,1.0,2.5
2021-01-21,GACHE,1.0,5.0
2021-01-21,GAL FRANGIPANE 4P,2.0,8.0
2021-01-21,GAL POMME 4P,1.0,8.0
2021-01-21,GAL POMME 6P,1.0,12.0
2021-01-21,PARIS BREST,3.0,2.0
2021-01-22,BAGUETTE APERO,1.0,4.5
2021-01-22,BOULE POLKA,1.0,1.6
2021-01-22,DIVERS SANDWICHS,4.0,3.125
2021-01-22,DIVERS VIENNOISERIE,2.0,5.0
2021-01-22,FLAN ABRICOT,4.0,2.1
2021-01-22,FONDANT CHOCOLAT,1.0,2.5
2021-01-22,GACHE,1.0,5.0
2021-01-22,GAL FRANGIPANE 4P,4.0,8.0
2021-01-22,GAL FRANGIPANE 6P,2.0,12.0
2021-01-22,GALETTE 8 PERS,1.0,16.0
2021-01-22,GRAND FAR BRETON,1.0,7.0
2021-01-22,NANTAIS,3.0,2.5
2021-01-22,PARIS BREST,1.0,2.0
2021-01-22,SACHET VIENNOISERIE,2.0,4.0
2021-01-22,SAVARIN,1.0,2.0
2021-01-22,SPECIAL BREAD KG,1.0,4.8
2021-01-22,VIK BREAD,2.0,2.5
2021-01-23,CHOU CHANTILLY,2.0,2.0
2021-01-23,DIVERS SANDWICHS,2.0,2.25
2021-01-23,DIVERS VIENNOISERIE,8.0,5.6
2021-01-23,GACHE,1.0,5.0
2021-01-23,GAL FRANGIPANE 4P,6.0,8.0
2021-01-23,GAL FRANGIPANE 6P,6.0,12.0
2021-01-23,GAL POMME 4P,1.0,8.0
2021-01-23,GD KOUIGN AMANN,1.0,7.5
2021-01-23,MILLES FEUILLES,3.0,2.0
2021-01-23,NANTAIS,1.0,2.5
2021-01-23,SACHET DE CROUTON,1.0,1.6
2021-01-23,SPECIAL BREAD KG,1.0,4.8
2021-01-23,SUCETTE,4.0,0.3
2021-01-23,VIK BREAD,5.0,2.5
2021-01-24,BAGUETTE GRAINE,8.0,1.3
2021-01-24,BOULE POLKA,1.0,1.6
2021-01-24,CHOU CHANTILLY,2.0,2.0
2021-01-24,DIVERS VIENNOISERIE,4.0,6.5
2021-01-24,FLAN,2.0,2.0
2021-01-24,FLAN ABRICOT,1.0,2.1
2021-01-24,FONDANT CHOCOLAT,1.0,2.5
2021-01-24,GACHE,1.0,5.0
2021-01-24,GAL FRANGIPANE 4P,4.0,8.0
2021-01-24,GAL FRANGIPANE 6P,3.0,12.0
2021-01-24,GAL POMME 4P,1.0,8.0
2021-01-24,GAL POMME 6P,3.0,12.0
2021-01-24,GD KOUIGN AMANN,1.0,7.5
2021-01-24,GRAND FAR BRETON,2.0,7.0
2021-01-24,PARIS BREST,7.0,2.0
2021-01-24,ROYAL 4P,2.0,12.0
2021-01-24,SACHET VIENNOISERIE,2.0,4.0
2021-01-24,SAVARIN,5.0,2.0
2021-01-24,VIK BREAD,8.0,2.5
2021-01-25,BOULE POLKA,2.0,1.6
2021-01-25,CHOU CHANTILLY,2.0,2.0
2021-01-25,DIVERS BOULANGERIE,1.0,5.0
2021-01-25,DIVERS SANDWICHS,3.0,3.3333333333333335
2021-01-25,FLAN ABRICOT,5.0,2.1
2021-01-25,GAL FRANGIPANE 4P,1.0,8.0
2021-01-25,GAL FRANGIPANE 6P,1.0,12.0
2021-01-25,NANTAIS,1.0,2.5
2021-01-25,SACHET VIENNOISERIE,1.0,4.0
2021-01-25,VIK BREAD,3.0,2.5
2021-01-26,BOULE POLKA,1.0,1.6
2021-01-26,CHOCOLAT,1.0,1.5
2021-01-26,DEMI PAIN,1.0,0.6
2021-01-26,DIVERS BOULANGERIE,1.0,2.0
2021-01-26,DIVERS SANDWICHS,1.0,2.5
2021-01-26,DIVERS VIENNOISERIE,1.0,4.0
2021-01-26,FONDANT CHOCOLAT,1.0,2.5
2021-01-26,GAL FRANGIPANE 4P,1.0,8.0
2021-01-26,GAL FRANGIPANE 6P,1.0,12.0
2021-01-26,NANTAIS,2.0,2.5
2021-01-26,SACHET DE CROUTON,1.0,1.6
2021-01-26,SACHET VIENNOISERIE,1.0,4.0
2021-01-28,DEMI PAIN,1.0,0.6
2021-01-28,DIVERS CONFISERIE,1.0,6.0
2021-01-28,DIVERS VIENNOISERIE,1.0,4.0
2021-01-28,FONDANT CHOCOLAT,1.0,2.5
2021-01-28,GAL POIRE CHOCO 6P,1.0,12.0
2021-01-28,GRAND FAR BRETON,1.0,7.0
2021-01-28,SAND JB,1.0,3.0
2021-01-29,DIVERS BOULANGERIE,1.0,3.0
2021-01-29,DIVERS PATISSERIE,2.0,10.0
2021-01-29,DIVERS SANDWICHS,2.0,3.75
2021-01-29,DIVERS VIENNOISERIE,3.0,2.9333333333333336
2021-01-29,FLAN,2.0,2.0
2021-01-29,FLAN ABRICOT,2.0,2.1
2021-01-29,FONDANT CHOCOLAT,3.0,2.5
2021-01-29,NANTAIS,4.0,2.5
2021-01-29,SACHET VIENNOISERIE,1.0,4.0
2021-01-29,SPECIAL BREAD KG,1.0,4.8
2021-01-29,VIK BREAD,2.0,2.5
2021-01-30,DIVERS PATISSERIE,1.0,7.0
2021-01-30,DIVERS VIENNOISERIE,6.0,2.3333333333333335
2021-01-30,FLAN,3.0,2.0
2021-01-30,FONDANT CHOCOLAT,3.0,2.5
2021-01-30,GACHE,1.0,5.0
2021-01-30,GAL FRANGIPANE 4P,1.0,8.0
2021-01-30,GRAND FAR BRETON,2.0,7.0
2021-01-30,NANTAIS,6.0,2.5
2021-01-30,SACHET VIENNOISERIE,1.0,4.0
2021-01-30,SAVARIN,1.0,2.0
2021-01-30,SPECIAL BREAD KG,1.0,4.8
2021-01-30,TARTE FRUITS 6P,1.0,12.0
2021-01-30,VIK BREAD,5.0,2.5
2021-01-31,BAGUETTE GRAINE,10.0,1.3
2021-01-31,BOULE POLKA,2.0,1.6
2021-01-31,CHOU CHANTILLY,3.0,2.0
2021-01-31,DIVERS CONFISERIE,3.0,3.0
2021-01-31,DIVERS VIENNOISERIE,4.0,4.6499999999999995
2021-01-31,FONDANT CHOCOLAT,2.0,2.5
2021-01-31,GACHE,1.0,5.0
2021-01-31,GAL FRANGIPANE 4P,1.0,8.0
2021-01-31,GD KOUIGN AMANN,5.0,7.5
2021-01-31,MILLES FEUILLES,2.0,2.0
2021-01-31,NANTAIS,2.0,2.5
2021-01-31,NOIX JAPONAISE,1.0,2.0
2021-01-31,PARIS BREST,6.0,2.0
2021-01-31,SACHET VIENNOISERIE,1.0,4.0
2021-01-31,SAVARIN,4.0,2.0
2021-01-31,SPECIAL BREAD KG,1.0,4.8
2021-01-31,TARTE FRUITS 4P,2.0,9.0
2021-01-31,TARTE FRUITS 6P,1.0,12.0
2021-01-31,VIK BREAD,13.0,2.5
2021-02-01,BOULE POLKA,2.0,1.6
2021-02-01,CHOU CHANTILLY,2.0,2.0
2021-02-01,DIVERS SANDWICHS,4.0,3.0
2021-02-01,DIVERS VIENNOISERIE,1.0,6.0
2021-02-01,NANTAIS,1.0,2.5
2021-02-01,SACHET VIENNOISERIE,2.0,4.0
2021-02-01,SAND JB,1.0,3.0
2021-02-02,BAGUETTE APERO,1.0,4.5
2021-02-02,BOULE POLKA,1.0,1.6
2021-02-02,DIVERS PATISSERIE,3.0,5.0
2021-02-02,DIVERS SANDWICHS,3.0,3.1666666666666665
2021-02-02,DIVERS VIENNOISERIE,2.0,6.0
2021-02-02,GACHE,1.0,5.0
2021-02-02,NANTAIS,1.0,2.5
2021-02-02,SACHET DE CROUTON,1.0,1.6
2021-02-02,SACHET VIENNOISERIE,1.0,4.0
2021-02-02,SUCETTE,2.0,0.3
2021-02-04,BOULE POLKA,2.0,1.6
2021-02-04,DIVERS BOULANGERIE,1.0,2.0
2021-02-04,DIVERS CONFISERIE,1.0,3.0
2021-02-04,DIVERS SANDWICHS,2.0,2.5
2021-02-04,DIVERS VIENNOISERIE,2.0,1.0
2021-02-04,PARIS BREST,1.0,2.0
2021-02-05,BOULE POLKA,2.0,1.6
2021-02-05,CHOU CHANTILLY,1.0,2.0
2021-02-05,DEMI PAIN,1.0,0.6
2021-02-05,DIVERS CONFISERIE,1.0,3.0
2021-02-05,DIVERS SANDWICHS,3.0,2.5
2021-02-05,DIVERS VIENNOISERIE,9.0,2.066666666666667
2021-02-05,FLAN,2.0,2.0
2021-02-05,FONDANT CHOCOLAT,1.0,2.5
2021-02-05,GD KOUIGN AMANN,1.0,7.5
2021-02-05,MILLES FEUILLES,1.0,2.0
2021-02-05,NANTAIS,2.0,2.5
2021-02-05,PARIS BREST,2.0,2.0
2021-02-05,SACHET VIENNOISERIE,1.0,4.0
2021-02-05,SAVARIN,4.0,2.0
2021-02-05,SPECIAL BREAD KG,1.0,4.8
2021-02-05,VIK BREAD,5.0,2.5
2021-02-06,DIVERS PATISSERIE,1.0,7.0
2021-02-06,DIVERS VIENNOISERIE,5.0,3.7636363636363637
2021-02-06,FLAN,3.0,2.0
2021-02-06,FLAN ABRICOT,4.0,2.1
2021-02-06,FONDANT CHOCOLAT,2.0,2.5
2021-02-06,GRAND FAR BRETON,5.0,7.0
2021-02-06,MILLES FEUILLES,3.0,2.0
2021-02-06,NANTAIS,4.0,2.5
2021-02-06,SACHET DE CROUTON,1.0,1.6
2021-02-06,SPECIAL BREAD KG,2.0,4.8
2021-02-06,TARTE FRUITS 4P,1.0,9.0
2021-02-06,TARTE FRUITS 6P,2.0,12.0
2021-02-06,THE,2.0,1.5
2021-02-06,VIK BREAD,5.0,2.5
2021-02-07,BAGUETTE GRAINE,11.0,1.3
2021-02-07,CHOU CHANTILLY,6.0,2.0
2021-02-07,DEMI PAIN,1.0,0.6
2021-02-07,DIVERS PATISSERIE,1.0,7.0
2021-02-07,DIVERS VIENNOISERIE,5.0,4.8
2021-02-07,GACHE,2.0,5.0
2021-02-07,GD KOUIGN AMANN,1.0,7.5
2021-02-07,GRANDE SUCETTE,2.0,0.6
2021-02-07,NOIX JAPONAISE,4.0,2.0
2021-02-07,PARIS BREST,2.0,2.0
2021-02-07,SACHET DE CROUTON,1.0,1.6
2021-02-07,SAVARIN,6.0,2.0
2021-02-07,TARTE FRUITS 4P,1.0,9.0
2021-02-07,TARTE FRUITS 6P,1.0,12.0
2021-02-07,VIK BREAD,8.0,2.5
2021-02-08,BOULE POLKA,1.0,1.6
2021-02-08,DIVERS BOULANGERIE,1.0,4.0
2021-02-08,DIVERS SANDWICHS,2.0,2.5
2021-02-08,DIVERS VIENNOISERIE,2.0,2.8
2021-02-08,MILLES FEUILLES,2.0,2.0
2021-02-08,NOIX JAPONAISE,1.0,2.0
2021-02-08,SACHET VIENNOISERIE,4.0,4.0
2021-02-08,VIK BREAD,2.0,2.5
2021-02-09,BOULE POLKA,2.0,1.6
2021-02-09,DIVERS BOULANGERIE,1.0,1.0
2021-02-09,DIVERS SANDWICHS,4.0,2.125
2021-02-09,FONDANT CHOCOLAT,2.0,2.5
2021-02-09,GACHE,1.0,5.0
2021-02-09,MILLES FEUILLES,3.0,2.0
2021-02-09,NANTAIS,3.0,2.5
2021-02-09,SACHET VIENNOISERIE,2.0,4.0
2021-02-09,SPECIAL BREAD KG,1.0,4.8
2021-02-11,BOULE POLKA,1.0,1.6
2021-02-11,CHOU CHANTILLY,1.0,2.0
2021-02-11,DEMI PAIN,1.0,0.6
2021-02-11,DIVERS BOULANGERIE,1.0,1.0
2021-02-11,DIVERS SANDWICHS,1.0,5.0
2021-02-11,DIVERS VIENNOISERIE,3.0,1.4000000000000001
2021-02-11,FLAN,2.0,2.0
2021-02-11,GRAND FAR BRETON,1.0,7.0
2021-02-11,NANTAIS,1.0,2.5
2021-02-11,NOIX JAPONAISE,1.0,2.0
2021-02-12,CHOU CHANTILLY,2.0,2.0
2021-02-12,DIVERS VIENNOISERIE,7.0,3.4285714285714284
2021-02-12,FLAN,2.0,2.0
2021-02-12,FLAN ABRICOT,2.0,2.1
2021-02-12,GACHE,1.0,5.0
2021-02-12,GD KOUIGN AMANN,2.0,7.5
2021-02-12,GRAND FAR BRETON,1.0,7.0
2021-02-12,NANTAIS,4.0,2.5
2021-02-12,NOIX JAPONAISE,3.0,2.0
2021-02-12,SACHET VIENNOISERIE,1.0,4.0
2021-02-12,SPECIAL BREAD KG,1.0,4.8
2021-02-12,VIK BREAD,4.0,2.5
2021-02-13,BOULE POLKA,2.0,1.6
2021-02-13,CHOU CHANTILLY,1.0,2.0
2021-02-13,DIVERS PATISSERIE,1.0,7.0
2021-02-13,DIVERS SANDWICHS,1.0,2.0
2021-02-13,DIVERS VIENNOISERIE,7.0,5.085714285714286
2021-02-13,FLAN,1.0,2.0
2021-02-13,FONDANT CHOCOLAT,1.0,2.5
2021-02-13,GACHE,1.0,5.0
2021-02-13,GRAND FAR BRETON,4.0,7.0
2021-02-13,MILLES FEUILLES,5.0,2.0
2021-02-13,NANTAIS,1.0,2.5
2021-02-13,SPECIAL BREAD KG,1.0,4.8
2021-02-13,SUCETTE,1.0,0.3
2021-02-13,TARTE FRUITS 4P,1.0,9.0
2021-02-13,TARTE FRUITS 6P,1.0,12.0
2021-02-13,VIK BREAD,5.0,2.5
2021-02-14,BAGUETTE GRAINE,11.0,1.3
2021-02-14,BOULE POLKA,2.0,1.6
2021-02-14,CHOU CHANTILLY,2.0,2.0
2021-02-14,DIVERS PATISSERIE,2.0,7.0
2021-02-14,DIVERS VIENNOISERIE,7.0,2.742857142857143
2021-02-14,FLAN,4.0,2.0
2021-02-14,FONDANT CHOCOLAT,4.0,2.5
2021-02-14,GACHE,1.0,5.0
2021-02-14,GD KOUIGN AMANN,1.0,7.5
2021-02-14,GRAND FAR BRETON,1.0,7.0
2021-02-14,NANTAIS,5.0,2.5
2021-02-14,NOIX JAPONAISE,6.0,2.0
2021-02-14,PARIS BREST,5.0,2.0
2021-02-14,SAVARIN,6.0,2.0
2021-02-14,SPECIAL BREAD KG,1.0,4.8
2021-02-14,SUCETTE,2.0,0.3
2021-02-14,TARTE FRUITS 4P,1.0,9.0
2021-02-14,VIK BREAD,10.0,2.5
2021-02-15,DEMI PAIN,1.0,0.6
2021-02-15,DIVERS SANDWICHS,2.0,3.75
2021-02-15,DIVERS VIENNOISERIE,3.0,7.666666666666667
2021-02-15,FLAN,5.0,2.0
2021-02-15,GD KOUIGN AMANN,1.0,7.5
2021-02-15,GRAND FAR BRETON,1.0,7.0
2021-02-15,NANTAIS,6.0,2.5
2021-02-15,PARIS BREST,2.0,2.0
2021-02-15,SACHET VIENNOISERIE,1.0,4.0
2021-02-15,SAVARIN,1.0,2.0
2021-02-16,BOULE POLKA,1.0,1.6
2021-02-16,DEMI PAIN,1.0,0.6
2021-02-16,DIVERS PATISSERIE,2.0,1.0
2021-02-16,DIVERS SANDWICHS,3.0,2.5
2021-02-16,DIVERS VIENNOISERIE,1.0,1.0
2021-02-16,FONDANT CHOCOLAT,2.0,2.5
2021-02-16,GD KOUIGN AMANN,2.0,7.5
2021-02-16,SACHET VIENNOISERIE,1.0,4.0
2021-02-18,DIVERS BOULANGERIE,2.0,1.5
2021-02-18,DIVERS CONFISERIE,1.0,3.0
2021-02-18,DIVERS VIENNOISERIE,4.0,3.7
2021-02-18,FLAN,2.0,2.0
2021-02-18,FLAN ABRICOT,1.0,2.1
2021-02-18,GD KOUIGN AMANN,1.0,7.5
2021-02-18,GRAND FAR BRETON,1.0,7.0
2021-02-18,PARIS BREST,1.0,2.0
2021-02-18,SPECIAL BREAD KG,1.0,4.8
2021-02-19,BOULE POLKA,2.0,1.6
2021-02-19,DEMI PAIN,1.0,0.6
2021-02-19,DIVERS BOULANGERIE,1.0,0.0
2021-02-19,DIVERS CONFISERIE,1.0,3.0
2021-02-19,DIVERS SANDWICHS,2.0,3.75
2021-02-19,DIVERS VIENNOISERIE,8.0,4.7
2021-02-19,FLAN,1.0,2.0
2021-02-19,FLAN ABRICOT,1.0,2.1
2021-02-19,GACHE,1.0,5.0
2021-02-19,GD KOUIGN AMANN,1.0,7.5
2021-02-19,GRAND FAR BRETON,2.0,7.0
2021-02-19,MILLES FEUILLES,2.0,2.0
2021-02-19,NANTAIS,3.0,2.5
2021-02-19,SACHET VIENNOISERIE,2.0,4.0
2021-02-19,SAVARIN,2.0,2.0
2021-02-19,SUCETTE,2.0,0.3
2021-02-19,VIK BREAD,4.0,2.5
2021-02-20,BOULE POLKA,1.0,1.6
2021-02-20,CHOU CHANTILLY,1.0,2.0
2021-02-20,DIVERS VIENNOISERIE,4.0,3.0
2021-02-20,FLAN ABRICOT,2.0,2.1
2021-02-20,GACHE,3.0,5.0
2021-02-20,GD KOUIGN AMANN,2.0,7.5
2021-02-20,GRAND FAR BRETON,3.0,7.0
2021-02-20,MILLES FEUILLES,1.0,2.0
2021-02-20,NANTAIS,7.0,2.5
2021-02-20,NOIX JAPONAISE,1.0,2.0
2021-02-20,PARIS BREST,1.0,2.0
2021-02-20,SACHET VIENNOISERIE,1.0,4.0
2021-02-20,SAVARIN,2.0,2.0
2021-02-20,SPECIAL BREAD KG,1.0,4.8
2021-02-20,TARTE FRUITS 6P,2.0,12.0
2021-02-20,VIK BREAD,5.0,2.5
2021-02-21,BAGUETTE GRAINE,8.0,1.3
2021-02-21,BOULE POLKA,1.0,1.6
2021-02-21,BRIOCHETTE,1.0,0.8
2021-02-21,CHOU CHANTILLY,6.0,2.0
2021-02-21,DIVERS BOULANGERIE,1.0,7.0
2021-02-21,DIVERS PATISSERIE,1.0,7.0
2021-02-21,DIVERS VIENNOISERIE,8.0,2.55
2021-02-21,FLAN,4.0,2.0
2021-02-21,FLAN ABRICOT,3.0,2.1
2021-02-21,FONDANT CHOCOLAT,1.0,2.5
2021-02-21,GACHE,1.0,5.0
2021-02-21,GD KOUIGN AMANN,3.0,7.5
2021-02-21,GRAND FAR BRETON,6.0,7.0
2021-02-21,MILLES FEUILLES,4.0,2.0
2021-02-21,NANTAIS,3.0,2.5
2021-02-21,NOIX JAPONAISE,6.0,2.0
2021-02-21,PARIS BREST,8.0,2.0
2021-02-21,SACHET VIENNOISERIE,3.0,4.0
2021-02-21,SAVARIN,7.0,2.0
2021-02-21,SPECIAL BREAD KG,1.0,4.8
2021-02-21,SUCETTE,2.0,0.3
2021-02-21,TARTE FRUITS 4P,1.0,9.0
2021-02-21,TARTE FRUITS 6P,1.0,12.0
2021-02-21,VIK BREAD,10.0,2.5
2021-02-22,BOULE POLKA,2.0,1.6
2021-02-22,DEMI PAIN,4.0,0.6
2021-02-22,DIVERS SANDWICHS,2.0,2.5
2021-02-22,DIVERS VIENNOISERIE,5.0,3.6799999999999997
2021-02-22,FONDANT CHOCOLAT,1.0,2.5
2021-02-22,GACHE,1.0,5.0
2021-02-22,GD KOUIGN AMANN,1.0,7.5
2021-02-22,GRANDE SUCETTE,1.0,0.6
